Dataflow,VQ_type,Din,Dout,VLEN,LMUL,BW,D,M,N,K,N_tile,M_tile,CW_tile,Offchip_access_codeword_MB,Offchip_access_codebook_MB,Offchip_access_lut_MB,Offchip_access_inp_MB,Offchip_access_psum_MB,Offchip_access_total_MB
VeLU,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,0.0,0.0078125,0.5,9.0078125
OMND,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,8.125,0.0078125,0.5,17.1328125
ODMN,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,8.125,0.0078125,0.0078125,16.640625
MNOD,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,8.125,0.0078125,0.5,17.1328125
MNDO,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,0.125,0.0078125,0.5,9.1328125
DOMN,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,8.125,0.0078125,0.0078125,16.640625
DMNO,TMAC_GEMV,1,4096,4096,4.0,4.0,4096,1024,4,16,4,16,64,8.0,0.5,0.25,0.0078125,0.5,9.2578125
VeLU,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.0,0.000244140625,0.001953125,0.256103515625
OMND,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.005859375,0.000244140625,0.0078125,0.267822265625
ODMN,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.005859375,0.000244140625,0.001953125,0.261962890625
MNOD,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.005859375,0.000244140625,0.0078125,0.267822265625
MNDO,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.001953125,0.000244140625,0.0078125,0.263916015625
DOMN,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.005859375,0.000244140625,0.001953125,0.261962890625
DMNO,RQ,1,1024,4096,2.0,8.0,128,1,4,256,1,2,512,0.00390625,0.25,0.00390625,0.000244140625,0.0078125,0.265869140625
VeLU,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.0,0.000244140625,0.0078125,0.078369140625
OMND,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.01171875,0.000244140625,0.0078125,0.090087890625
ODMN,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.01171875,0.000244140625,0.001953125,0.084228515625
MNOD,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.01171875,0.000244140625,0.0078125,0.090087890625
MNDO,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.00390625,0.000244140625,0.0078125,0.082275390625
DOMN,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.01171875,0.000244140625,0.001953125,0.084228515625
DMNO,PQ,1,1024,4096,2.0,8.0,128,8,1,256,1,2,512,0.0078125,0.0625,0.0078125,0.000244140625,0.0078125,0.086181640625
VeLU,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,0.0,0.0078125,1.0,7.0078125
OMND,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,2.25,0.0078125,2.0,10.2578125
ODMN,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,2.25,0.0078125,0.0078125,8.265625
MNOD,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,2.25,0.0078125,2.0,10.2578125
MNDO,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,0.25,0.0078125,2.0,8.2578125
DOMN,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,2.25,0.0078125,0.0078125,8.265625
DMNO,AQLM_GEMV,1,4096,4096,2.0,8.0,4096,256,2,256,1,2,512,2.0,4.0,0.5,0.0078125,2.0,8.5078125
